date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:00:15	157/157	---MC-	302	error ('Found')	text/html	date:Sat,%2012%20May%202018%2018:00:15%20GMT	https://art-furniture-1.myshopify.com/checkout	C:/Users/hhson/Desktop/Funnn/art-furniture-1.myshopify.com/checkout	(from https://art-furniture-1.myshopify.com/)
00:00:16	108/108	---MC-	302	error ('Found')	text/html	date:Sat,%2012%20May%202018%2018:00:16%20GMT	https://art-furniture-1.myshopify.com/1129185331/checkouts/f68b776a1c31c065768a3b8aeefc9be5	C:/Users/hhson/Desktop/Funnn/art-furniture-1.myshopify.com/1129185331/checkouts/f68b776a1c31c065768a3b8aeefc9be5	(from https://art-furniture-1.myshopify.com/)
00:00:20	110358/110358	---MCZ	200	added ('OK')	text/html	etag:cacheable:df02fcacb20fa30dc6b8884558f39306	https://art-furniture-1.myshopify.com/collections/all	C:/Users/hhson/Desktop/Funnn/art-furniture-1.myshopify.com/collections/all.html	(from https://art-furniture-1.myshopify.com/)
00:00:21	10281/10281	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20May%202018%2018:00:22%20GMT	http://cdn.shopify.com/s/files/1/0011/2918/5331/collections/33_large.jpg?v=1522555045	C:/Users/hhson/Desktop/Funnn/cdn.shopify.com/s/files/1/0011/2918/5331/collections/33_large633e.jpg	(from https://art-furniture-1.myshopify.com/)
00:00:22	111196/111196	---MCZ	200	added ('OK')	text/html	etag:cacheable:97d781a3ae0dd707183aee1dfca6ac26	https://art-furniture-1.myshopify.com/collections/featured-products	C:/Users/hhson/Desktop/Funnn/art-furniture-1.myshopify.com/collections/featured-products.html	(from https://art-furniture-1.myshopify.com/)
00:00:29	286037/286037	---MCZ	200	added ('OK')	text/html	etag:cacheable:a355d5c6255c6648ee1d800642b57782	https://art-furniture-1.myshopify.com/products/donec-non-est-ullamcorper	C:/Users/hhson/Desktop/Funnn/art-furniture-1.myshopify.com/products/donec-non-est-ullamcorper.html	(from https://art-furniture-1.myshopify.com/)
00:00:42	242475/242475	---MCZ	200	added ('OK')	text/html	etag:cacheable:58442d2b09537e43a2830363cfee78e6	https://art-furniture-1.myshopify.com/products/aliquam-consequat-mattis	C:/Users/hhson/Desktop/Funnn/art-furniture-1.myshopify.com/products/aliquam-consequat-mattis.html	(from https://art-furniture-1.myshopify.com/)
00:00:51	73774/73774	---MCZ	200	added ('OK')	text/html	etag:cacheable:603e5cd41033c057017008c85f1482bb	https://art-furniture-1.myshopify.com/pages/about	C:/Users/hhson/Desktop/Funnn/art-furniture-1.myshopify.com/pages/about.html	(from https://art-furniture-1.myshopify.com/)
00:00:52	166468/166468	---MCZ	200	added ('OK')	text/html	etag:cacheable:641c1e704e8646706967fad9121e9536	https://art-furniture-1.myshopify.com/blogs/news	C:/Users/hhson/Desktop/Funnn/art-furniture-1.myshopify.com/blogs/news.html	(from https://art-furniture-1.myshopify.com/)
00:00:54	162924/162924	---MCZ	200	added ('OK')	text/html	etag:cacheable:1e18a296fd5042bd6878a7dc6239d3ad	https://art-furniture-1.myshopify.com/blogs/news/temporibus-autem-quibusdam-1	C:/Users/hhson/Desktop/Funnn/art-furniture-1.myshopify.com/blogs/news/temporibus-autem-quibusdam-1.html	(from https://art-furniture-1.myshopify.com/)
00:00:56	72837/72837	---MCZ	200	added ('OK')	text/html	etag:cacheable:1983f4fe467a58872fae4365e241c201	https://art-furniture-1.myshopify.com/pages/contact	C:/Users/hhson/Desktop/Funnn/art-furniture-1.myshopify.com/pages/contact.html	(from https://art-furniture-1.myshopify.com/)
00:00:57	31761/31761	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20May%202018%2018:00:56%20GMT	http://cdn.shopify.com/s/files/1/0011/2918/5331/files/1.jpg?v=1521869382	C:/Users/hhson/Desktop/Funnn/cdn.shopify.com/s/files/1/0011/2918/5331/files/1b3d5.jpg	(from https://art-furniture-1.myshopify.com/)
00:00:59	8564/8564	---M--	200	added ('OK')	image/jpeg	date:Mon,%2007%20May%202018%2017:37:51%20GMT	http://cdn.shopify.com/s/files/1/0011/2918/5331/files/1_310fc957-dd94-4feb-9acc-c8529a2cf2bf.jpg?v=1521872138	C:/Users/hhson/Desktop/Funnn/cdn.shopify.com/s/files/1/0011/2918/5331/files/1_310fc957-dd94-4feb-9acc-c8529a2cf2bf25c3.jpg	(from https://art-furniture-1.myshopify.com/)
00:01:01	16636/16636	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20May%202018%2018:01:00%20GMT	http://cdn.shopify.com/s/files/1/0011/2918/5331/files/2_17c3ab4a-c967-4eb3-8ff9-a1af6d87906a.jpg?v=1521872158	C:/Users/hhson/Desktop/Funnn/cdn.shopify.com/s/files/1/0011/2918/5331/files/2_17c3ab4a-c967-4eb3-8ff9-a1af6d87906a5d2d.jpg	(from https://art-furniture-1.myshopify.com/)
00:01:01	8373/8373	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20May%202018%2018:01:01%20GMT	http://cdn.shopify.com/s/files/1/0011/2918/5331/files/3.jpg?v=1521872174	C:/Users/hhson/Desktop/Funnn/cdn.shopify.com/s/files/1/0011/2918/5331/files/397b1.jpg	(from https://art-furniture-1.myshopify.com/)
00:01:01	75204/75204	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20May%202018%2018:00:58%20GMT	http://cdn.shopify.com/s/files/1/0011/2918/5331/files/2.jpg?v=1521869398	C:/Users/hhson/Desktop/Funnn/cdn.shopify.com/s/files/1/0011/2918/5331/files/24f64.jpg	(from https://art-furniture-1.myshopify.com/)
